fheight,sheight
65.04851,59.77826999999999
63.25094,63.214040000000004
64.95532,63.34242
65.7525,62.79238
61.13723,64.28113
63.02254,64.24221
65.37053,64.08230999999999
64.72398000000001,63.995740000000005
66.06509,64.61338
66.96738,63.979440000000004
59.008,65.24450999999999
62.932030000000005,65.35101999999999
63.67063,65.67992
64.07386,65.43664
64.68851,65.29391
65.15465999999999,64.79016999999999
66.37353,65.01881
65.57704,65.5464
67.36765,65.08145
66.75929000000001,65.49008
67.79764,65.1352
69.5348,65.51262
62.54014,66.58436
63.810159999999996,66.37841999999999
64.4565,66.14782
64.9665,65.97259
64.70662,65.95886999999999
65.73829,66.45201999999999
65.50140999999999,65.74797
65.55416,65.97164000000001
66.90294,65.90548000000001
66.57388,65.90773
66.53198,66.47103
67.90613,65.75023
68.29198000000001,66.34666
67.74123,66.08577
68.46916999999999,66.28036999999999
69.38327,66.34354
71.81791,66.41711
62.41615,67.22558000000001
64.49083,67.46394000000001
64.4876,66.99361999999999
63.923030000000004,66.76647
65.44592,67.0342
65.02977,66.84316
65.67038000000001,69.2989
68.66078,69.09114
66.54597,61.66358
64.85954,65.7288
69.60692,68.98012
64.8135,67.37397
65.32703000000001,67.17459000000001
65.83169000000001,67.06711999999999
65.83426999999999,67.29446
65.56135,67.62665
65.8688,67.47923
65.77339,66.92161999999999
67.09116,67.58324
66.61374,67.21191
67.41075,66.81629000000001
67.27716,67.24268000000001
66.61134,67.51035999999999
68.17412,67.57026
67.80555,67.17258000000001
68.32529,67.54129
68.07786999999999,67.37113000000001
68.96795,67.59714
68.9255,67.25104
69.60862,66.82533000000001
70.35646,66.72679000000001
70.00643000000001,66.92996
72.75425,67.64846999999999
62.82147,68.04290999999999
62.86855,68.4885
63.91261,68.04777
64.54118000000001,68.34573
64.51906,68.33829
66.02688,68.3138
65.81011,68.18333
66.01812,68.51056
65.53742,68.12014
65.73346,68.31563
66.77424,68.04774
66.67869,68.61273
66.97585,67.9425
66.94021,68.08381
66.84575,68.36754
67.12008,67.85181
67.74181,68.19806
68.27194,68.01897
67.60691,68.23431
68.44736999999999,67.89742
67.65831999999999,68.62409
68.71193000000001,67.97912
69.32025,68.2668
68.7403,67.94192
69.13395,68.62071999999999
69.34995,68.23857
68.6297,68.58554000000001
69.58258000000001,68.06568
70.39517,68.38188000000001
71.19284,67.75943000000001
70.82429,68.59991
71.65366999999999,67.91483000000001
73.28133000000001,67.83861
63.037530000000004,68.77561999999999
63.664280000000005,69.60781999999999
65.38311,69.69143000000001
64.60205,69.41490999999999
66.40661,69.68930999999999
65.76985,69.20775
65.66729000000001,69.45626999999999
66.05712,69.59614
66.54635,69.27994
