gdp_cap,life_exp,pop,col,life_exp1950
974.5803384,43.828,31.889923,red,28.8
5937.0295259999975,76.423,3.6005230000000004,green,55.23
6223.367465,72.301,33.333216,blue,43.08
4797.231267,42.731,12.420476,blue,30.02
12779.379640000001,75.32,40.301927,yellow,62.48
34435.367439999995,81.235,20.434176,black,69.12
36126.4927,79.829,8.199783,green,66.8
29796.048339999998,75.635,0.708573,red,50.94
1391.253792,64.062,150.44833899999998,red,37.48
33692.60508,79.441,10.392226,green,68.0
1441.284873,56.728,8.078314,blue,38.22
3822.1370840000004,65.554,9.119152,yellow,40.41
7446.298803,74.852,4.5521980000000015,green,53.82
12569.851770000001,50.728,1.639131,blue,47.62
9065.800825,72.39,190.010647,yellow,50.92
10680.79282,73.005,7.322858,green,59.6
1217.032994,52.295,14.326203,blue,31.98
430.07069160000003,49.58,8.390505000000001,blue,39.03
1713.7786859999999,59.723,14.131858,red,39.42
2042.0952399999999,50.43,17.696293,blue,38.52
36319.235010000004,80.653,33.390141,yellow,68.75
706.016537,44.74100000000001,4.369038,blue,35.46
1704.0637239999999,50.651,10.238807,blue,38.09
13171.63885,78.553,16.284741,yellow,54.74
4959.1148539999995,72.961,1318.683096,red,44.0
7006.580419,72.889,44.22755,yellow,50.64
986.1478792000001,65.152,0.71096,blue,40.72
277.55185869999997,46.461999999999996,64.606759,blue,39.14
3632.557798,55.321999999999996,3.80061,blue,42.11
9645.06142,78.782,4.133883999999999,yellow,57.21
1544.750112,48.328,18.013409,blue,40.48
14619.222719999998,75.748,4.493312,green,61.21
8948.102923,78.273,11.416987,yellow,59.42
22833.30851,76.486,10.228744,green,66.87
35278.41874,78.332,5.46812,green,70.78
2082.4815670000007,54.791000000000004,0.496374,blue,34.81
6025.374752000002,72.235,9.319622,yellow,45.93
6873.262326000001,74.994,13.755679999999998,yellow,48.36
5581.180998,71.33800000000002,80.264543,blue,41.89
5728.353514,71.878,6.939688,yellow,45.26
12154.08975,51.57899999999999,0.551201,blue,34.48
